[2024-02-18 21:34:29,707: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-18 21:34:29,708: INFO: common: created directory at: artifacts]
[2024-02-18 21:34:29,709: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-18 21:36:48,999: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-18 21:36:49,001: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-18 21:36:49,003: INFO: common: created directory at: artifacts]
[2024-02-18 21:36:49,004: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-18 21:41:07,084: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-18 21:41:07,085: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-18 21:41:07,087: INFO: common: created directory at: artifacts]
[2024-02-18 21:41:07,088: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-18 22:17:41,176: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-18 22:17:41,185: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-18 22:17:41,187: INFO: common: created directory at: artifacts]
[2024-02-18 22:17:41,190: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-18 22:17:58,244: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-18 22:33:02,486: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-18 22:33:02,488: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-18 22:33:02,490: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-18 22:33:02,491: INFO: common: created directory at: artifacts]
[2024-02-18 22:33:02,491: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-18 22:33:02,491: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1TwcmNPN5OBplkd0FwCKfd4xFUnaw_sdo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-18 22:33:17,607: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1TwcmNPN5OBplkd0FwCKfd4xFUnaw_sdo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-18 22:33:17,976: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-02-18 22:37:29,614: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-18 22:37:29,616: INFO: common: yaml file: config\config.yaml loaded successfully]
